id,buy,category,comment,purchasable,sell,sellable,tier
safari-ball,200,pokeball,사파리볼,TRUE,10,TRUE,common
safari-zone-ticket,400,etc,사파리존입장권,TRUE,0,FALSE,rare
fire-stone,20000,etc,불꽃의돌,TRUE,2000,TRUE,epic
water-stone,20000,etc,물의돌,TRUE,2000,TRUE,epic
thunder-stone,20000,etc,천둥의돌,TRUE,2000,TRUE,epic
leaf-stone,20000,etc,리프의돌,TRUE,2000,TRUE,epic
moon-stone,20000,etc,달의돌,TRUE,2000,TRUE,epic
sun-stone,20000,etc,태양의돌,TRUE,2000,TRUE,epic
shiny-stone,20000,etc,빛의돌,TRUE,2000,TRUE,epic
dusk-stone,20000,etc,어둠의돌,TRUE,2000,TRUE,epic
dawn-stone,20000,etc,각성의돌,TRUE,2000,TRUE,epic
oval-stone,20000,etc,동글동글돌,TRUE,2000,TRUE,epic
ice-stone,20000,etc,얼음의돌,TRUE,2000,TRUE,epic
metal-coat,20000,etc,금속코트,TRUE,2000,TRUE,epic
up-grade,20000,etc,업그레이드,TRUE,2000,TRUE,epic
kings-rock,20000,etc,왕의징표석,TRUE,2000,TRUE,epic
dragon-scale,20000,etc,용의비늘,TRUE,2000,TRUE,epic
deep-sea-scale,20000,etc,심해의비늘,TRUE,2000,TRUE,epic
deep-sea-tooth,20000,etc,심해의이빨,TRUE,2000,TRUE,epic
dubious-disc,20000,etc,괴상한패치,TRUE,2000,TRUE,epic
magmarizer,20000,etc,마그마부스터,TRUE,2000,TRUE,epic
electirizer,20000,etc,에레키부스터,TRUE,2000,TRUE,epic
reaper-cloth,20000,etc,영계의천,TRUE,2000,TRUE,epic
protector,20000,etc,프로텍터,TRUE,2000,TRUE,epic
razor-claw,20000,etc,예리한손톱,TRUE,2000,TRUE,epic
razor-fang,20000,etc,예리한이빨,TRUE,2000,TRUE,epic
prism-scale,20000,etc,고운비늘,TRUE,2000,TRUE,epic
whipped-dream,20000,etc,휘핑팝,TRUE,2000,TRUE,epic
sachet,20000,etc,향기주머니,TRUE,2000,TRUE,epic
cracked-pot,20000,etc,깨진포트,TRUE,2000,TRUE,epic
chipped-pot,20000,etc,이빠진포트,TRUE,2000,TRUE,epic
tart-apple,20000,etc,달콤한사과,TRUE,2000,TRUE,epic
