id,ability,comment,evol_cost,evol_next,form_cost,form_next,generation,height_m,rate_capture,rate_female,rate_flee,rate_male,skills,spawn,tier,type1,type2,weight_kg,growth_group,base_exp
1,"['overgrow', 'chlorophyll']",이상해씨,['candy_50'],['0002'],[],[],1,0.7,0.14,0.12,0.6,0.88,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,6.9,medium_slow,64
2,"['overgrow', 'chlorophyll']",이상해풀,['candy_100'],['0003'],[],[],1,1.0,0.14,0.12,0.6,0.88,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,13.0,medium_slow,142
3,"['overgrow', 'chlorophyll']",이상해꽃,[],[],[],[],1,2.0,0.14,0.12,0.6,0.88,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,100.0,medium_slow,236
0003-mega,['thick-fat'],이상해꽃,[],[],[],[],1,2.4,0.14,0.12,0.6,0.88,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,155.5,medium_slow,236
0003-gmax,"['overgrow', 'chlorophyll']",이상해꽃,[],[],[],[],1,24.0,0.14,0.12,0.6,0.88,[],['land'],epic,grass,poison,1000.0,medium_slow,236
4,"['blaze', 'solar-power']",파이리,['candy_50'],['0005'],[],[],1,0.6,0.14,0.12,0.6,0.88,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,,8.5,medium_slow,62
5,"['blaze', 'solar-power']",리자드,['candy_100'],['0006'],[],[],1,1.1,0.14,0.12,0.6,0.88,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,,19.0,medium_slow,142
6,"['blaze', 'solar-power']",리자몽,[],[],[],[],1,1.7,0.14,0.12,0.6,0.88,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength', 'move_fly']",['land'],epic,fire,flying,90.5,medium_slow,240
0006-mega-x,['tough-claws'],리자몽,[],[],[],[],1,1.7,0.14,0.12,0.6,0.88,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength', 'move_fly']",['land'],epic,fire,dragon,110.5,medium_slow,240
0006-mega-y,['drought'],리자몽,[],[],[],[],1,1.7,0.14,0.12,0.6,0.88,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength', 'move_fly']",['land'],epic,fire,flying,100.5,medium_slow,240
0006-gmax,"['blaze', 'solar-power']",리자몽,[],[],[],[],1,28.0,0.14,0.12,0.6,0.88,[],['land'],epic,fire,flying,1000.0,medium_slow,240
7,"['torrent', 'rain-dish']",꼬부기,['candy_50'],['0008'],[],[],1,0.5,0.14,0.12,0.6,0.88,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",epic,water,,9.0,medium_slow,63
8,"['torrent', 'rain-dish']",어니부기,['candy_100'],['0009'],[],[],1,1.0,0.14,0.12,0.6,0.88,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",epic,water,,22.5,medium_slow,142
9,"['torrent', 'rain-dish']",거북왕,[],[],[],[],1,1.6,0.14,0.12,0.6,0.88,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",epic,water,,85.5,medium_slow,239
0009-mega,['mega-launcher'],거북왕,[],[],[],[],1,1.6,0.14,0.12,0.6,0.88,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",epic,water,,101.1,medium_slow,239
0009-gmax,"['torrent', 'rain-dish']",거북왕,[],[],[],[],1,25.0,0.14,0.12,0.6,0.88,[],"['land','water']",epic,water,,1000.0,medium_slow,239
