id,ability,comment,evol_cost,evol_next,form_cost,form_next,generation,height_m,rate_capture,rate_female,rate_flee,rate_male,rate_spawn,skills,spawn,tier,type1,type2,weight_kg
0001,"['overgrow', 'chlorophyll']",이상해씨,['candy_50'],['0002'],[],[],1,0.7,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,6.9
0002,"['overgrow', 'chlorophyll']",이상해풀,['candy_100'],['0003'],[],[],1,1.0,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,13.0
0003,"['overgrow', 'chlorophyll']",이상해꽃,[],[],[],[],1,2.0,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,100.0
0003-mega,['thick-fat'],이상해꽃,[],[],[],[],1,2.4,0.18,0.12,0.3,0.88,50,"['move_flash', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,grass,poison,155.5
0003-gmax,"['overgrow', 'chlorophyll']",이상해꽃,[],[],[],[],1,24.0,0.18,0.12,0.3,0.88,50,[],['land'],epic,grass,poison,1000.0
0004,"['blaze', 'solar-power']",파이리,['candy_50'],['0005'],[],[],1,0.6,0.18,0.12,0.3,0.88,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,,8.5
0005,"['blaze', 'solar-power']",리자드,['candy_100'],['0006'],[],[],1,1.1,0.18,0.12,0.3,0.88,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,fire,,19.0
0006,"['blaze', 'solar-power']",리자몽,[],[],[],[],1,1.7,0.18,0.12,0.3,0.88,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength', 'move_fly']",['land'],epic,fire,flying,90.5
0006-mega-x,['tough-claws'],리자몽,[],[],[],[],1,1.7,0.18,0.12,0.3,0.88,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength', 'move_fly']",['land'],epic,fire,dragon,110.5
0006-mega-y,['drought'],리자몽,[],[],[],[],1,1.7,0.18,0.12,0.3,0.88,50,"['move_defog', 'move_cut', 'move_rock-smash', 'move_strength', 'move_fly']",['land'],epic,fire,flying,100.5
0006-gmax,"['blaze', 'solar-power']",리자몽,[],[],[],[],1,28.0,0.18,0.12,0.3,0.88,50,[],['land'],epic,fire,flying,1000.0
0007,"['torrent', 'rain-dish']",꼬부기,['candy_50'],['0008'],[],[],1,0.5,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,,9.0
0008,"['torrent', 'rain-dish']",어니부기,['candy_100'],['0009'],[],[],1,1.0,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,,22.5
0009,"['torrent', 'rain-dish']",거북왕,[],[],[],[],1,1.6,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,,85.5
0009-mega,['mega-launcher'],거북왕,[],[],[],[],1,1.6,0.18,0.12,0.3,0.88,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,,101.1
0009-gmax,"['torrent', 'rain-dish']",거북왕,[],[],[],[],1,25.0,0.18,0.12,0.3,0.88,50,[],['water'],epic,water,,1000.0
0010,"['shield-dust', 'run-away']",캐터피,['candy_25'],['0011'],[],[],1,0.3,1.0,0.5,0.3,0.5,50,[],['land'],common,bug,,2.9
